order_id,customer_id,order_date,category,quantity,unit_price,total_price
ORD_0096,CUST_053,2023-04-07,C,9,28.21,253.89
ORD_0097,CUST_035,2023-04-08,A,10,14.5,145.0
ORD_0098,CUST_005,2023-04-09,B,8,18.14,145.12
ORD_0099,CUST_059,2023-04-10,B,8,27.26,218.08
ORD_0100,CUST_030,2023-04-11,A,6,26.7,160.2
ORD_0101,CUST_043,2023-04-12,B,9,20.39,183.51
ORD_0102,CUST_036,2023-04-13,B,11,12.14,133.54
ORD_0103,CUST_069,2023-04-14,B,6,16.86,101.16
ORD_0104,CUST_034,2023-04-15,A,8,19.26,154.08
ORD_0105,CUST_005,2023-04-16,A,2,14.44,28.88
ORD_0106,CUST_041,2023-04-17,B,6,17.9,107.4
ORD_0107,CUST_050,2023-04-18,C,6,17.04,102.24
ORD_0108,CUST_056,2023-04-19,A,8,21.12,168.96
ORD_0109,CUST_026,2023-04-20,B,4,19.09,76.36
ORD_0110,CUST_043,2023-04-21,C,3,24.08,72.24
ORD_0111,CUST_039,2023-04-22,C,6,27.15,162.9
ORD_0112,CUST_052,2023-04-23,C,7,23.82,166.74
ORD_0113,CUST_054,2023-04-24,C,7,22.0,154.0
ORD_0114,CUST_023,2023-04-25,C,10,17.8,178.0
ORD_0115,CUST_001,2023-04-26,B,6,18.28,109.68
ORD_0116,CUST_075,2023-04-27,C,7,24.13,168.91
ORD_0117,CUST_057,2023-04-28,C,6,16.3,97.8
ORD_0118,CUST_022,2023-04-29,C,8,24.41,195.28
ORD_0119,CUST_080,2023-04-30,B,10,22.45,224.5
ORD_0120,CUST_031,2023-05-01,C,-5,25.46,305.52
ORD_0121,CUST_019,2023-05-02,A,6,26.73,160.38
ORD_0122,CUST_079,2023-05-03,A,13,23.29,302.77
ORD_0123,CUST_074,2023-05-04,A,3,22.31,66.93
ORD_0124,CUST_052,2023-05-05,A,7,16.14,112.98
ORD_0125,CUST_014,2023-05-06,B,9,24.88,223.92
ORD_0126,CUST_067,2023-05-07,B,8,27.08,216.64
ORD_0127,CUST_016,2023-05-08,B,9,20.94,188.46
ORD_0128,CUST_068,2023-05-09,C,9,23.32,209.88
ORD_0129,CUST_057,2023-05-10,C,3,14.47,43.41
ORD_0130,CUST_055,2023-05-11,C,9,12.25,110.25
ORD_0131,CUST_061,2023-05-12,B,6,20.79,124.74
ORD_0132,CUST_036,2023-05-13,C,7,23.01,161.07
ORD_0133,CUST_057,2023-05-14,A,6,20.29,121.74
ORD_0134,CUST_043,2023-05-15,B,7,17.15,120.05
ORD_0135,CUST_020,2023-05-16,A,8,18.98,151.84
ORD_0136,CUST_028,2023-05-17,A,7,21.54,150.78
ORD_0137,CUST_060,2023-05-18,B,6,21.83,130.98
ORD_0138,CUST_050,2023-05-19,C,11,22.89,251.79
ORD_0139,CUST_074,2023-05-20,B,8,19.74,157.92
ORD_0140,CUST_039,2023-05-21,B,3,21.38,64.14
ORD_0141,CUST_054,2023-05-22,C,10,12.11,121.1
ORD_0142,CUST_078,2023-05-23,A,7,14.97,104.79
ORD_0143,CUST_063,2023-05-24,A,6,20.24,121.44
ORD_0144,CUST_052,2023-05-25,C,5,23.82,119.1
ORD_0145,CUST_017,2023-05-26,C,9,23.87,214.83
ORD_0146,CUST_076,2023-05-27,C,3,18.15,54.45
ORD_0147,CUST_055,2023-05-28,A,7,18.57,129.99
ORD_0148,CUST_034,2023-05-29,B,8,18.12,144.96
ORD_0149,CUST_044,2023-05-30,B,6,23.9,143.4
ORD_0150,CUST_054,2023-05-31,B,7,29.68,207.76
ORD_0151,CUST_070,2023-06-01,A,9,16.12,145.08
ORD_0152,CUST_009,2023-06-02,C,9,20.0,180.0
ORD_0153,CUST_032,2023-06-03,A,8,20.25,162.0
ORD_0154,CUST_031,2023-06-04,A,9,15.28,137.52
ORD_0155,CUST_028,2023-06-05,B,7,20.33,142.31
ORD_0156,CUST_022,2023-06-06,C,6,13.51,81.06
ORD_0157,CUST_015,2023-06-07,A,5,15.86,79.3
ORD_0158,CUST_004,2023-06-08,B,8,19.58,156.64
ORD_0159,CUST_049,2023-06-09,B,4,15.99,63.96
ORD_0160,CUST_076,2023-06-10,C,9,19.04,171.36
ORD_0161,CUST_039,2023-06-11,C,8,17.39,139.12
ORD_0162,CUST_073,2023-06-12,A,7,18.8,131.6
ORD_0163,CUST_048,2023-06-13,A,6,23.47,140.82
ORD_0164,CUST_054,2023-06-14,B,6,19.86,119.16
ORD_0165,CUST_059,2023-06-15,C,12,26.27,315.24
ORD_0166,CUST_067,2023-06-16,C,8,22.04,176.32
ORD_0167,CUST_069,2023-06-17,B,7,27.21,190.47
ORD_0168,CUST_076,2023-06-18,B,4,21.64,86.56
ORD_0169,CUST_012,2023-06-19,B,7,22.7,158.9
ORD_0170,CUST_060,2023-06-20,C,9,17.98,161.82
ORD_0171,CUST_004,2023-06-21,B,6,17.5,105.0
ORD_0172,CUST_028,2023-06-22,B,8,17.96,143.68
ORD_0173,CUST_077,2023-06-23,C,8,16.51,132.08
ORD_0174,CUST_067,2023-06-24,A,9,16.51,148.59
ORD_0175,CUST_063,2023-06-25,C,10,23.27,232.7
ORD_0176,CUST_063,2023-06-26,B,8,13.88,111.04
ORD_0177,CUST_029,2023-06-27,B,8,18.3,146.4
ORD_0178,CUST_075,2023-06-28,B,7,16.81,117.67
ORD_0179,CUST_055,2023-06-29,C,5,20.82,104.1
ORD_0180,CUST_059,2023-06-30,B,6,18.84,113.04
ORD_0181,CUST_025,2023-07-01,B,7,22.71,158.97
ORD_0182,CUST_024,2023-07-02,A,9,23.38,210.42
ORD_0183,CUST_076,2023-07-03,C,8,24.5,196.0
ORD_0184,CUST_025,2023-07-04,B,3,13.59,40.77
ORD_0185,CUST_002,2023-07-05,C,8,22.49,179.92
ORD_0186,CUST_007,2023-07-06,C,6,19.32,115.92
ORD_0187,CUST_063,2023-07-07,A,6,29.27,175.62
ORD_0188,CUST_061,2023-07-08,B,9,16.25,146.25
ORD_0189,CUST_007,2023-07-09,B,6,20.93,125.58
ORD_0190,CUST_009,2023-07-10,B,10,18.35,183.5
ORD_0191,CUST_007,2023-07-11,A,5,20.27,101.35
ORD_0192,CUST_039,2023-07-12,A,9,24.15,217.35
ORD_0193,CUST_054,2023-07-13,C,9,19.92,179.28
ORD_0194,CUST_067,2023-07-14,B,5,16.85,84.25
ORD_0195,CUST_076,2023-07-15,B,5,21.32,106.6
ORD_0196,CUST_079,2023-07-16,C,7,25.24,176.68
ORD_0197,CUST_028,2023-07-17,B,10,23.96,239.6
ORD_0198,CUST_023,2023-07-18,C,7,18.02,126.14
ORD_0199,CUST_058,2023-07-19,C,8,20.13,161.04
ORD_0200,CUST_030,2023-07-20,UNKNOWN,6,18.15,108.9
ORD_0201,CUST_059,2023-07-21,A,7,13.99,97.93
ORD_0202,CUST_076,2023-07-22,C,6,11.61,69.66
ORD_0203,CUST_015,2023-07-23,C,8,17.5,140.0
ORD_0204,CUST_035,2023-07-24,A,8,22.24,177.92
ORD_0205,CUST_040,2023-07-25,C,9,21.05,189.45
ORD_0206,CUST_037,2023-07-26,B,7,14.81,103.67
ORD_0207,CUST_052,2023-07-27,B,10,24.3,243.0
ORD_0208,CUST_011,2023-07-28,C,5,19.99,99.95
ORD_0209,CUST_042,2023-07-29,C,10,21.05,210.5
ORD_0210,CUST_074,2023-07-30,C,7,21.75,152.25
ORD_0211,CUST_035,2023-07-31,C,15,15.21,228.15
ORD_0212,CUST_061,2023-08-01,C,11,21.68,238.48
ORD_0213,CUST_024,2023-08-02,C,5,12.75,63.75
ORD_0214,CUST_012,2023-08-03,B,4,22.88,91.52
ORD_0215,CUST_014,2023-08-04,A,6,22.94,137.64
ORD_0216,CUST_037,2023-08-05,C,6,25.4,152.4
ORD_0217,CUST_071,2023-08-06,A,11,17.52,192.72
ORD_0218,CUST_042,2023-08-07,A,6,20.97,125.82
ORD_0219,CUST_066,2023-08-08,A,9,19.24,173.16
ORD_0220,CUST_053,2023-08-09,A,6,15.82,94.92
ORD_0221,CUST_064,2023-08-10,C,8,23.5,188.0
ORD_0222,CUST_035,2023-08-11,C,7,20.46,143.22
ORD_0223,CUST_063,2023-08-12,A,9,22.42,201.78
ORD_0224,CUST_031,2023-08-13,C,10,21.02,210.2
ORD_0225,CUST_071,2023-08-14,B,9,24.25,218.25
ORD_0226,CUST_015,2023-08-15,B,13,26.89,349.57
ORD_0227,CUST_020,2023-08-16,B,10,18.11,181.1
ORD_0228,CUST_035,2023-08-17,B,9,18.64,167.76
ORD_0229,CUST_032,2023-08-18,B,10,10.34,103.4
ORD_0230,CUST_077,2023-08-19,C,6,18.75,112.5
ORD_0231,CUST_009,2023-08-20,B,7,17.83,124.81
ORD_0232,CUST_044,2023-08-21,C,8,12.23,97.84
ORD_0233,CUST_039,2023-08-22,C,7,20.29,142.03
ORD_0234,CUST_020,2023-08-23,B,5,17.17,85.85
ORD_0235,CUST_071,2023-08-24,C,6,19.12,114.72
ORD_0236,CUST_025,2023-08-25,C,4,26.48,105.92
ORD_0237,CUST_053,2023-08-26,A,8,23.92,191.36
ORD_0238,CUST_049,2023-08-27,B,7,24.12,168.84
ORD_0239,CUST_020,2023-08-28,B,11,19.48,214.28
ORD_0240,CUST_076,2023-08-29,B,9,19.54,175.86
ORD_0241,CUST_057,2023-08-30,A,10,14.05,140.5
ORD_0242,CUST_019,2023-08-31,B,5,19.28,96.4
ORD_0243,CUST_010,2023-09-01,B,11,16.63,182.93
ORD_0244,CUST_080,2023-09-02,C,8,22.84,182.72
ORD_0245,CUST_043,2023-09-03,C,7,28.32,198.24
ORD_0246,CUST_041,2023-09-04,C,9,22.92,206.28
ORD_0247,CUST_070,2023-09-05,A,7,18.06,126.42
ORD_0248,CUST_037,2023-09-06,A,6,24.34,146.04
ORD_0249,CUST_013,2023-09-07,C,7,21.24,148.68
ORD_0250,CUST_022,2023-09-08,C,7,24.62,172.34
ORD_0251,CUST_042,2023-09-09,A,7,28.24,197.68
ORD_0252,CUST_019,2023-09-10,A,7,32.04,224.28
ORD_0253,CUST_024,2023-09-11,A,5,25.64,128.2
ORD_0254,CUST_049,2023-09-12,C,9,33.6,302.4
ORD_0255,CUST_075,2023-09-13,A,7,21.21,148.47
ORD_0256,CUST_059,2023-09-14,B,8,34.65,277.2
ORD_0257,CUST_060,2023-09-15,B,5,16.98,84.9
ORD_0258,CUST_057,2023-09-16,B,7,24.15,169.05
ORD_0259,CUST_055,2023-09-17,C,9,26.65,239.85
ORD_0260,CUST_026,2023-09-18,B,7,37.44,262.08
ORD_0261,CUST_049,2023-09-19,C,8,24.96,199.68
ORD_0262,CUST_038,2023-09-20,A,6,30.51,183.06
ORD_0263,CUST_036,2023-09-21,A,10,25.91,259.1
ORD_0264,CUST_007,2023-09-22,C,5,23.69,118.45
ORD_0265,CUST_037,2023-09-23,A,7,16.79,117.53
ORD_0266,CUST_025,2023-09-24,C,6,23.87,143.22
ORD_0267,CUST_018,2023-09-25,C,7,36.06,252.42
ORD_0268,CUST_006,2023-09-26,B,10,31.35,313.5
ORD_0269,CUST_047,2023-09-27,C,8,25.64,205.12
ORD_0270,CUST_042,2023-09-28,C,10,35.71,357.1
ORD_0271,CUST_070,2023-09-29,B,6,28.84,173.04
ORD_0272,CUST_022,2023-09-30,B,3,24.71,74.13
ORD_0273,CUST_038,2023-10-01,C,12,20.33,243.96
ORD_0274,CUST_060,2023-10-02,A,10,19.91,199.1
ORD_0275,CUST_051,2023-10-03,C,11,37.88,416.68
ORD_0276,CUST_002,2023-10-04,B,5,34.13,170.65
ORD_0277,CUST_034,2023-10-05,C,5,25.65,128.25
ORD_0278,CUST_048,2023-10-06,A,5,32.24,161.2
ORD_0279,CUST_080,2023-10-07,C,6,21.57,129.42
ORD_0280,CUST_009,2023-10-08,C,6,33.53,201.18
ORD_0281,CUST_039,2023-10-09,C,9,16.42,147.78
ORD_0282,CUST_005,2023-10-10,B,7,28.62,200.34
ORD_0283,CUST_031,2023-10-11,C,8,26.93,215.44
ORD_0284,CUST_070,2023-10-12,B,9,31.47,283.23
ORD_0285,CUST_054,2023-10-13,C,5,22.46,112.3
ORD_0286,CUST_053,2023-10-14,B,9,30.64,275.76
ORD_0287,CUST_057,2023-10-15,B,9,28.07,252.63
ORD_0288,CUST_013,2023-10-16,C,11,23.76,261.36
ORD_0289,CUST_046,2023-10-17,A,5,35.61,178.05
ORD_0290,CUST_016,2023-10-18,B,6,29.09,174.54
ORD_0291,CUST_077,2023-10-19,A,9,29.03,261.27
ORD_0292,CUST_017,2023-10-20,C,9,28.53,256.77
ORD_0293,CUST_071,2023-10-21,A,9,36.76,330.84
ORD_0294,CUST_030,2023-10-22,B,4,21.9,87.6
ORD_0295,CUST_077,2023-10-23,A,8,17.59,140.72
ORD_0296,CUST_017,2023-10-24,C,7,42.31,296.17
ORD_0297,CUST_004,2023-10-25,A,7,30.35,212.45
ORD_0298,CUST_031,2023-10-26,C,11,27.89,306.79
ORD_0299,CUST_007,2023-10-27,A,7,29.98,209.86
ORD_0300,CUST_009,2023-10-28,B,7,20.41,142.87
ORD_0301,CUST_076,2023-10-29,A,6,28.63,171.78
ORD_0302,CUST_079,2023-10-30,A,6,28.13,168.78
ORD_0303,CUST_067,2023-10-31,B,7,15.31,107.17
ORD_0304,CUST_008,2023-11-01,B,3,30.63,91.89
ORD_0305,CUST_014,2023-11-02,B,9,22.34,201.06
ORD_0306,CUST_011,2023-11-03,B,7,21.32,149.24
ORD_0307,CUST_036,2023-11-04,C,7,25.74,180.18
ORD_0308,CUST_042,2023-11-05,B,6,21.95,131.7
ORD_0309,CUST_059,2023-11-06,C,10,26.77,267.7
ORD_0310,CUST_015,2023-11-07,C,7,25.49,178.43
ORD_0311,CUST_028,2023-11-08,B,6,19.49,116.94
ORD_0312,CUST_044,2023-11-09,B,6,28.16,168.96
ORD_0313,CUST_041,2023-11-10,B,5,32.18,160.9
ORD_0314,CUST_020,2023-11-11,C,7,30.82,215.74
ORD_0315,CUST_011,2023-11-12,A,8,26.07,208.56
ORD_0316,CUST_048,2023-11-13,A,4,30.7,122.8
ORD_0317,CUST_072,2023-11-14,C,5,24.52,122.6
ORD_0318,CUST_046,2023-11-15,C,7,29.42,205.94
ORD_0319,CUST_007,2023-11-16,B,9,24.95,224.55
ORD_0320,CUST_074,2023-11-17,C,6,24.03,144.18
ORD_0321,CUST_029,2023-11-18,A,8,34.68,277.44
ORD_0322,CUST_015,2023-11-19,B,6,32.56,195.36
ORD_0323,CUST_072,2023-11-20,C,4,22.6,90.4
ORD_0324,CUST_004,2023-11-21,C,5,21.92,109.6
ORD_0325,CUST_035,2023-11-22,A,11,22.63,248.93
ORD_0326,CUST_040,2023-11-23,B,9,34.61,311.49
ORD_0327,CUST_019,2023-11-24,C,7,29.75,208.25
ORD_0328,CUST_004,2023-11-25,A,7,25.29,177.03
ORD_0329,CUST_054,2023-11-26,B,7,23.25,162.75
ORD_0330,CUST_042,2023-11-27,C,6,31.37,188.22
ORD_0331,CUST_020,2023-11-28,A,4,20.64,82.56
ORD_0332,CUST_011,2023-11-29,B,8,25.27,202.16
ORD_0333,CUST_078,2023-11-30,B,6,28.98,173.88
ORD_0334,CUST_066,2023-12-01,A,6,28.93,173.58
ORD_0335,CUST_076,2023-12-02,B,7,29.16,204.12
ORD_0336,CUST_029,2023-12-03,B,6,26.22,157.32
ORD_0337,CUST_027,2023-12-04,B,8,26.82,214.56
ORD_0338,CUST_033,2023-12-05,B,11,23.89,262.79
ORD_0339,CUST_056,2023-12-06,A,7,27.59,193.13
ORD_0340,CUST_030,2023-12-07,C,9,31.83,286.47
ORD_0341,CUST_046,2023-12-08,A,5,24.11,120.55
ORD_0342,CUST_056,2023-12-09,A,5,32.36,161.8
ORD_0343,CUST_041,2023-12-10,C,7,27.54,192.78
ORD_0344,CUST_054,2023-12-11,B,6,29.36,176.16
ORD_0345,CUST_042,2023-12-12,A,8,27.73,221.84
ORD_0346,CUST_047,2023-12-13,A,8,19.9,159.2
ORD_0347,CUST_056,2023-12-14,C,7,27.99,195.93
ORD_0348,CUST_040,2023-12-15,C,7,28.28,197.96
ORD_0349,CUST_022,2023-12-16,A,7,31.12,217.84
ORD_0350,CUST_066,2023-12-17,A,7,26.82,187.74
ORD_0351,CUST_019,2023-12-18,A,9,24.21,217.89
ORD_0352,CUST_023,2023-12-19,C,9,29.5,265.5
ORD_0353,CUST_010,2023-12-20,A,9,34.47,310.23
ORD_0354,CUST_060,2023-12-21,C,10,24.72,247.2
ORD_0355,CUST_073,2023-12-22,C,8,21.11,168.88
ORD_0356,CUST_041,2023-12-23,A,6,21.32,127.92
ORD_0357,CUST_039,2023-12-24,B,5,29.24,146.2
ORD_0358,CUST_010,2023-12-25,B,6,24.27,145.62
ORD_0359,CUST_048,2023-12-26,B,7,27.35,191.45
